<0.167 m/s,,,,,,,,,,,,,,,>0.167 m/s,,,,,,,,,,,
Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),,Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s)
-42,0.113200407,-6,0.038183508,-1,0.019971297,,,-24,0.066360879,,,,,,,,,,,,,,,,,
-41,0.113105753,-5,0.035449352,0,0.017920644,,,-23,0.065607476,,,,,,,,,,,,,,,,,
-40,0.112947546,-4,0.032756686,,,,,-22,0.064807043,,,,,,,,,,,,,,,,,
-39,0.112724594,-3,0.030115907,,,,,-21,0.063959164,,,,,,,,,,,,,,,,,
-38,0.112434711,-2,0.027538257,,,,,-20,0.063063929,,,,,,,,,,,,,,,,,
-37,0.112074928,-1,0.025035579,,,,,-19,0.062121745,,,,,,,,,,,,,,,,,
-36,0.111641839,0,0.022619975,,,,,-18,0.061133096,,,,,,,,,,,,,,,,,
-35,0.111132066,,,,,,,-17,0.06009833,,,,,,,,,,,,,,,,,
-34,0.110542679,,,,,,,-16,0.059017571,,,,,,,,,,,,,,,,,
-33,0.109871427,,,,,,,-15,0.057890754,,,,,,,,,,,,,,,,,
-32,0.109116658,,,,,,,-14,0.056717747,,,,,,,,,,,,,,,,,
-31,0.108276999,,,,,,,-13,0.055498455,,,,,,,,,,,,,,,,,
-30,0.107351,,,,,,,-12,0.05423291,,,,,,,,,,,,,,,,,
-29,0.106336964,,,,,,,-11,0.052921411,,,,,,,,,,,,,,,,,
-28,0.10523302,,,,,,,-10,0.05156469,,,,,,,,,,,,,,,,,
-27,0.104037293,,,,,,,-9,0.050164059,,,,,,,,,,,,,,,,,
-26,0.102747979,,,,,,,-8,0.048721501,,,,,,,,,,,,,,,,,
-25,0.101363259,,,,,,,-7,0.047239701,,,,,,,,,,,,,,,,,
-24,0.09988118,,,,,,,-6,0.045721976,,,,,,,,,,,,,,,,,
-23,0.098299676,,,,,,,-5,0.044172123,,,,,,,,,,,,,,,,,
-22,0.096616807,,,,,,,-4,0.042594263,,,,,,,,,,,,,,,,,
-21,0.094831111,,,,,,,-3,0.040992733,,,,,,,,,,,,,,,,,
-20,0.092941809,,,,,,,-2,0.039372052,,,,,,,,,,,,,,,,,
-19,0.090948662,,,,,,,-1,0.037736863,,,,,,,,,,,,,,,,,
-18,0.088851517,,,,,,,0,0.036091854,,,,,,,,,,,,,,,,,
-17,0.086649691,,,,,,,,,,,,,,,,,,,,,,,,,
-16,0.084341502,,,,,,,,,,,,,,,,,,,,,,,,,
-15,0.081924111,,,,,,,,,,,,,,,,,,,,,,,,,
-14,0.079393705,,,,,,,,,,,,,,,,,,,,,,,,,
-13,0.076745826,,,,,,,,,,,,,,,,,,,,,,,,,
-12,0.07397568,,,,,,,,,,,,,,,,,,,,,,,,,
-11,0.071078462,,,,,,,,,,,,,,,,,,,,,,,,,
-10,0.068049845,,,,,,,,,,,,,,,,,,,,,,,,,
-9,0.064886612,,,,,,,,,,,,,,,,,,,,,,,,,
-8,0.06158735,,,,,,,,,,,,,,,,,,,,,,,,,
-7,0.058153038,,,,,,,,,,,,,,,,,,,,,,,,,
-6,0.054587458,,,,,,,,,,,,,,,,,,,,,,,,,
-5,0.050897402,,,,,,,,,,,,,,,,,,,,,,,,,
-4,0.047092741,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0.043186517,,,,,,,,,,,,,,,,,,,,,,,,,
-2,0.03919518,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0.035138959,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.031042212,,,,,,,,,,,,,,,,,,,,,,,,,
